Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America,China,India,EU,USA
2012,31940.82253,,,,,,,,,6025.520346
2013,33155.30108,,,,,,,,,6119.673343
2014,22221.93616,,,,,,,,,6218.632517
2015,23198.87978,,,,,,,,,6290.492558
2016,24170.22901,,,,,,,,,6367.635681
2017,25176.69922,,,,,,,,,6439.585751
2018,26228.40684,,,,,,,,,6506.581219
2019,26466.45179,,,,,,,,,6568.860538
2020,26995.80534,,,,,,,,,6604.418381
2021,27606.48466,,,,,,,,,6680.224539
2022,26445.768,,,,,,,,,6729.786124
2023,26738.44041,,,,,,,,,6775.585369
2024,26661.63416,,,,,,,,,6817.860726
2025,26460.25238,,,,,,,,,6845.974855
2026,26721.58527,,,,,,,,,6892.793584
2027,26975.46077,,,,,,,,,6925.927989
2028,27230.42007,,,,,,,,,6956.492315
2029,27488.93458,,,,,,,,,6984.725015
2030,27749.80122,,,,,,,,,7043.243603
2031,28045.14525,,,,,,,,,7035.14934
2032,28340.62213,,,,,,,,,7057.817871
2033,28651.10218,,,,,,,,,7079.108583
2034,28979.84485,,,,,,,,,7099.259929
2035,29317.05237,,,,,,,,,7128.101651
2036,29704.03106,,,,,,,,,7137.098332
2037,30104.51281,,,,,,,,,7155.262292
2038,30533.45729,,,,,,,,,7173.240696
2039,30992.70701,,,,,,,,,7191.271994
2040,31481.85022,,,,,,,,,7189.811403
2041,32009.96288,,,,,,,,,7228.447083
2042,32572.42049,,,,,,,,,7248.067778
2043,33119.63866,,,,,,,,,7268.695177
2044,33659.28291,,,,,,,,,7290.567732
2045,34274.60912,,,,,,,,,7305.896847
2046,34853.49802,,,,,,,,,7339.002117
2047,35512.05266,,,,,,,,,7366.040852
2048,36214.09037,,,,,,,,,7395.278551
2049,36961.41246,,,,,,,,,7426.953667
2050,37736.08877,,,,,,,,,7469.549565
2051,38599.03497,,,,,,,,,7498.569958
2052,39492.92401,,,,,,,,,7538.988037
2053,40439.21084,,,,,,,,,7582.797341
2054,41439.61394,,,,,,,,,7630.236323
2055,42495.81462,,,,,,,,,7681.543435
2056,43609.42583,,,,,,,,,7736.957129
2057,44782.05305,,,,,,,,,7796.715857
2058,46015.34535,,,,,,,,,7861.058072
2059,47310.96765,,,,,,,,,7930.222225
2060,48670.55354,,,,,,,,,8004.446769
